Timestamp,Throttle,Pitch,Yaw,Roll,KillSwitch,Emergency,Ax_ms2,Ay_ms2,Az_ms2,Gx_dps,Gy_dps,Gz_dps
# Flight Data Log - Single Flight Mode
# Generated by Starship Hand Controller
# Timestamp: milliseconds since loop start (flight time)
# Control values: 0-255 (127=center)
# Emergency: 1=active, 0=normal
# File overwrites on each restart
# ========================
2433,,,,,,,, # System startup - Hand Controller initialized
16893,,,,,,,, # Flight started - Loop timestamp zero point set
29099,131,128,131,131,131,0,0.04790,-0.01198,10.01358,-0.70992,-0.33588,-0.41985
29220,131,128,131,131,131,0,0.04072,0.00958,10.00160,-0.67939,-0.01527,-0.34351
29341,131,128,131,131,131,0,0.04551,0.00000,9.98723,-0.71756,-0.09160,-0.22901
29461,131,128,131,131,131,0,0.03353,-0.00240,10.01597,-0.80153,-0.12214,-0.48092
29582,131,128,131,131,131,0,0.04311,0.00000,10.00400,-0.65649,-0.06107,-0.28244
29702,131,128,131,131,131,0,0.02395,0.00479,9.98723,-0.65649,-0.10687,-0.31298
29823,131,128,131,131,131,0,0.02395,-0.02395,10.00400,-0.64885,-0.19847,-0.32824
29943,131,128,131,131,131,0,0.01437,0.00719,9.98244,-0.61069,-0.26718,-0.27481
30064,131,128,131,131,131,0,0.04551,-0.01198,10.00400,-0.73282,-0.12977,-0.47328
30184,131,128,131,131,131,0,0.02635,-0.03593,9.99921,-0.70229,-0.04580,-0.41221
30305,131,128,131,131,131,0,0.02635,-0.02395,9.98484,-0.73282,-0.03817,-0.26718
30425,131,128,131,131,131,0,0.03593,0.00000,10.00160,-0.64885,-0.09924,-0.35878
30546,131,128,131,131,131,0,0.01437,-0.02874,9.98244,-0.70229,-0.09160,-0.30534
30666,131,128,131,131,131,0,0.04072,0.00719,10.01597,-0.74809,-0.21374,-0.32061
30787,131,128,131,131,131,0,0.01677,0.00240,10.01597,-0.61069,0.00000,-0.27481
30908,131,128,131,131,131,0,0.06227,0.00240,9.98963,-0.67939,-0.22137,-0.41221
31028,131,128,131,131,131,0,0.02874,0.00958,9.98005,-0.76336,-0.05344,-0.32061
31149,131,128,131,131,131,0,0.05748,-0.01677,9.98723,-0.66412,-0.12214,-0.26718
31269,131,128,131,131,131,0,0.03353,-0.00719,10.02555,-0.70992,-0.09160,-0.35115
31390,131,128,131,131,131,0,0.03353,-0.00240,10.01358,-0.68702,-0.08397,-0.35878
31510,131,128,131,131,131,0,0.03593,0.00240,10.00400,-0.76336,-0.30534,-0.38168
31631,131,128,131,131,131,0,0.02156,-0.00719,9.99442,-0.74809,-0.06107,-0.25191
31751,131,128,131,131,131,0,0.05748,0.00719,10.01597,-0.81679,-0.13740,-0.34351
